date,elo1,elo2,elo_diff,elo_prob1,my_prob1,neutral,playoff,result1,score1,score2,season,team1,team2,week_in_season
1920-09-26,1503.947,1300.0,303.947,0.824651200949,0.85190985968,0,0,1.0,48.0,0.0,1920,RII,STP,1
1920-10-03,1503.42,1300.0,303.42,0.824212097337,0.851526726594,0,0,1.0,43.0,0.0,1920,AKR,WHE,1
1920-10-03,1503.42,1300.0,303.42,0.824212097337,0.851526726594,0,0,1.0,10.0,0.0,1920,RCH,ABU,1
1920-10-03,1493.002,1504.908,88.094,0.575819124092,0.624128706666,0,0,1.0,14.0,0.0,1920,DAY,COL,1
1920-10-03,1516.108,1478.004,136.070598315,0.644171090113,0.686387745075,0,0,1.0,45.0,0.0,1920,RII,MUN,2
1920-10-03,1368.333,1300.0,168.333,0.682985571491,0.724920658387,0,0,1.0,20.0,0.0,1920,CHI,MUT,2
1920-10-03,1504.688,1300.0,304.688,0.825267150778,0.852447190328,0,0,1.0,48.0,0.0,1920,CBD,PTQ,2
1920-10-03,1478.004,1300.0,278.004,0.802000300549,0.832063058052,0,0,1.0,32.0,6.0,1920,BFF,WBU,2
1920-10-10,1386.533,1300.0,183.892192909,0.705222821358,0.742416899338,0,0,1.0,25.0,7.0,1920,CHI,KEW,2
1920-10-10,1542.135,1444.259,192.431006407,0.71861251567,0.751704162447,0,0,1.0,26.0,0.0,1920,RII,HAM,3
1920-10-10,1515.434,1464.506,148.069779131,0.660906211955,0.70106158739,0,0,0.5,0.0,0.0,1920,DAY,CTI,3
1920-10-10,1300.0,1493.002,-93.002,0.323695810129,0.369267029917,0,0,0.5,0.0,0.0,1920,CHT,ARI,3
1920-10-10,1510.934,1300.0,309.677450951,0.830391408639,0.856023372842,0,0,1.0,66.0,0.0,1920,RCH,FTP,3
1920-10-10,1499.667,1300.0,299.667,0.821060012892,0.848774560782,0,0,1.0,40.0,14.0,1920,DHR,CLP,3
1920-10-10,1489.757,1292.486,294.089393777,0.819024633751,0.844607078322,0,0,1.0,51.0,0.0,1920,BFF,ABU,3
1920-10-10,1516.803,1300.0,314.775865981,0.835096725114,0.859602880604,0,0,1.0,42.0,0.0,1920,CBD,TLM,3
1920-10-10,1515.278,1482.475,127.960848026,0.637146241698,0.67625232854,0,0,1.0,37.0,0.0,1920,AKR,COL,3
1920-10-17,1487.625,1281.8,304.574036565,0.826208953938,0.852364655623,0,0,1.0,33.0,3.0,1920,ARI,MUT,4
1920-10-17,1559.405,1402.774,253.849581225,0.781735802674,0.811727705203,0,0,0.0,0.0,7.0,1920,RII,CHI,4
1920-10-17,1523.607,1300.0,320.291009398,0.840419870826,0.863390814912,0,0,0.5,0.0,0.0,1920,RCH,UTI,4
1920-10-17,1527.799,1469.414,153.377071908,0.670458862783,0.707424756946,0,0,1.0,7.0,0.0,1920,CBD,CTI,4
1920-10-17,1540.552,1300.0,335.553622856,0.853071676598,0.873426622718,0,0,1.0,13.0,0.0,1920,AKR,CNC,4
1920-10-17,1300.0,1457.2,-63.0756669089,0.370342943918,0.41021111092,0,0,1.0,14.0,0.0,1920,FTW,COL,4
1920-10-17,1305.377,1510.196,-104.453105302,0.308986267497,0.354050811273,0,0,1.0,12.0,0.0,1920,CHT,DHR,4
1920-10-17,1510.527,1426.99,177.235119552,0.701624940606,0.73502077951,0,0,1.0,44.0,0.0,1920,DAY,HAM,4
